setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eKDhc,320.1,Curnow et al. (2018),Crystal,ABeqLx,[N-](C#N)C#N.c(N(C(C)C)C(C)C)1c(N(C(C)C)C(C)C)[c+]1N(CCCC)CCCC,bis(diisopropylamino)dibutylaminocyclopropenium dicyanamide,,,,,,
SZral,538.1,Ozdil et al. (2016),Crystal,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,,,,,,
JJdnC,372.59,Domanska and Bogel-Lukasik (2005),Crystal,AAopKM,CCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylpropanaminium bromide",,,,,,
ZQwlL,326.1,Papaiconomou et al. (2010),Crystal,ABFoRT,CCCCCCCC[n+]1cc(CC)ccc1C.N#C[N-]C#N,5-ethyl-2-methyl-1-octylpyridinium dicyanamide,,,,,,
gGord,381.15,Coker et al. (1970),Crystal 1,ABiOFm,CCCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],"N,N,N-trihexylheptan-1-aminium bromide",,,,,,
mNctY,299.1,Liu et al. (2010b),Crystal,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
Zfthb,297.35,Pernak et al. (2012),Crystal,ABhGKr,CCCCCCCCCCCOC[n+]1ccccc1.O=S(=O)([O-])NC1CCCCC1,1-((undecyloxy)methyl)pyridinium N-cyclohexylsulfamate,,,,,,
CWzYG,348.7,Pereiro et al. (2011),Crystal,AAzuEi,CCCCCCCCCC[n+]1cccc(C)c1.[Cl-],1-decyl-3-methylpyridinium chloride,,,,,,
wOsmz,327.1,Zhou et al. (2005),Crystal 1,ABIyjG,CCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)C(F)(F)F,"N,N-diethyl-N-methylpropan-1-aminium trifluoro(perfluoroethyl)borate",,,,,,
FVKBq,285,Calvar et al. (2013a),Crystal,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
DZrXJ,303.06,Zawadzki et al. (2020),Crystal 1,ABdzaK,C[N+]1(CCO)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-hydroxyethyl)-N-methylmorpholinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
QXYaK,346.1,Pereira et al. (2019),Crystal,ABBuQO,CCOC(=O)CCC[N+]1(C)CCCC1.[Br-],1-(4-ethoxy-4-oxobutyl)-1-methylpyrrolidinium bromide,,,,,,
ROWra,306,Gonzalez et al. (2011c),Crystal,AAuByn,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCC1,1-ethyl-1-methylpyrrolidinium ethyl sulfate,,,,,,
skfpm,254.69,Khan et al. (2017d),Crystal,ACELcz,Cc1ccc(S(=O)(=O)[O-])cc1.Cc1ccc(S(=O)(=O)[O-])cc1.Cn1cc[n+](CCCC[n+]2ccn(C)c2)c1,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazol-3-ium) 4-methylbenzenesulfonate",,,,,,
mZSMA,403.7,Domanska et al. (2009e),Crystal,ABEVqe,Cc1cc(C)[nH+]c(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,"2,4,6-trimethylpyridinium 4-methylbenzenesulfonate",,,,,,
kEOEC,365.8,Okuniewski et al. (2014),Crystal,ABHEeK,Cn1cc[n+](CC#N)c1.N#Cc1nc(C(F)(F)F)[n-]c1C#N,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide",,,,,,
RluCd,297.1,Nakamoto and Watanabe (2007),Crystal,ABSrVf,CC[NH+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,diethylmethylammonium bis(trifluoromethylsulfonyl)imide,,,,,,
xBkhl,359.1,Shim et al. (2006),Crystal,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,,,
vhJFT,291.1,Parajo et al. (2018),Crystal 1,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
wEkhO,279,Fareghi-Alamdari and Hatefipour (2015),Crystal,ABHrQg,Cn1cc[n+](CC(Br)CN=[N+]=[N-])c1.N#C[N-]C#N,1-(3-azido-2-bromopropyl)-3-methyl-3H-imidazol-1-ium dicyanamide,,,,,,
vqzrV,351.1,Serbanovic et al. (2010),Crystal,ACcIIP,CCCCCCCCCCCCCCCCCCN(C)C(N(C)CCCCCCCCCCCCCCCCCC)=[N+](C)C.N#C[N-]C#N,dimethyl di-octadecyl dimethylguanidinium dicyanamide,,,,,,
gdBwT,396.15,Coker et al. (1970),Crystal 1,ABzUWC,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[I-],tetraheptylammonium iodide,,,,,,
kFfiU,423.6,Zhang et al. (2021b),Crystal,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,,,,,,
XGTZs,375.4,Kawai et al. (2019),Crystal,ABxjNN,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,"N-adamantyl-N,N-dimethyl-N-dodecylammonium bis(fluorosulfonyl)amide",,,,,,
LpmZp,367.1,Xue et al. (2005),Crystal,AAhjcL,Cc1nn(C)n[n+]1C.O=[N+]([O-])[O-],"1,3,5-trimethyl-1H-tetrazolium nitrate",,,,,,
JVQga,329.1,Papaiconomou et al. (2010),Crystal,ABHDOm,CCCCCCCC[n+]1cc(C)cc(C)c1.F[B-](F)(F)F,"3,5-dimethyl-1-octylpyridinium tetrafluoroborate",,,,,,
GDcti,317.2,Domanska et al. (2011b),Crystal,ABrEfh,CCCCCC[n+]1cccc2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide,,,,,,
TxPjs,376.15,Coker et al. (1970),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
UZyxa,307.1,Walst et al. (2015),Crystal,ACOfgv,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCC)CCC)1c(N(CCC)CCC)[c+]1N(CCC)CCC,tris(dipropylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
vHzRr,285.3,Endo and Nishikawa (2013),Crystal,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
wNhtr,338.1,Walst et al. (2015),Crystal,AEPpHK,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCCCCCCCCCCCCCCCC)C)1c(N(CCCCCCCCCCCCCCCCCC)C)[c+]1N(CCCCCCCCCCCCCCCCCC)C,tris(methyloctadecylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
UvLoJ,372.1,Xue and Shreeve (2005),Crystal,AAmjQu,[O-][N+]([O-])=O.[N-]=[N+]=NCCN1C=[NH+]C=N1,"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate",,,,,,
PmSdT,366.1,Sashina et al. (2013),Crystal,AAjkra,CCCC[n+]1cccc(C)c1.[Cl-],1-butyl-3-methylpyridinium chloride,,,,,,
hjbVM,287.1,MacFarlane et al. (2001),Crystal,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
czrPZ,340.1,Liu et al. (2005b),Crystal,AAfOib,COC[n+]1ccn(C)c1.[Cl-],1-(methoxymethyl)-3-methylimidazolium chloride,,,,,,
hTcjG,283,Cabeza et al. (2014),Crystal,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate,,,,,,
WGyUM,349,Martins et al. (2022),Crystal,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",,,,,,
lKWML,314.8,Nakamoto and Watanabe (2007),Crystal,AAqwEP,CC[NH+](C)C.O=S(=O)([O-])C(F)(F)F,dimethylethylammonium trifluoromethanesulfonate,,,,,,
olPdZ,395.15,Coker et al. (1970),Crystal 1,ABSEvj,CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.[Br-],butyltris(3-methylbutyl)ammonium bromide,,,,,,
SPkyX,305.1,Curnow et al. (2018),Crystal,ABDsRl,[N-](C#N)C#N.c(N(CC)CC)1c(N(CC)CC)[c+]1N(C)C,bis(diethylamino)(dimethylamino)cyclopropenium dicyanamide,,,,,,
SgRgC,457.4,Zhang et al. (2018i),Crystal,ABVFED,CCn1cc[n+](CC[n+]2ccn(CC)c2)c1.[Br-].[Br-],"1,2-bis(3-ethylimidazolium-1-yl)ethane dibromide",,,,,,
HikSH,350.2,Vatascin and Dohnal (2019),Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
KIqmf,386.15,Sudholter et al. (1982),Crystal 1,ABWtUd,CCCCCCCCCCCCc1cc[n+](C)cc1.[I-],4-dodecyl-1-methylpyridinium iodide,,,,,,
ENfED,340.1,Wei et al. (2010b),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
SeWwe,221.1,Xue and Shreeve (2005),Crystal,AAweqq,Cn1cn[n+](CCN=[N+]=[N-])c1.[O-]Cl(=O)(=O)=O,"1-(2-azidoethyl)-4-methyl-4H-1,2,4-triazol-1-ium perchlorate",,,,,,
ctawr,381.1,Sashina et al. (2013),Crystal,AAggcW,C=CC[n+]1cccc(C)c1.[Cl-],1-allyl-3-methylpyridinium chloride,,,,,,
LQoHK,339.35,Zhang et al. (2009e),Crystal,ABYVNY,CC[S+]1CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,S-ethyltetrahydrothiophenium bis(trifluoromethylsulfonyl)imide,,,,,,
IbFUP,235.1,Papaiconomou et al. (2010),Crystal,ABBcWe,CCCCCCCC[n+]1cc(C)cc(C)c1.N#C[S-],"3,5-dimethyl-1-octylpyridinium thiocyanate",,,,,,
SZgSc,287.6,Greeson et al. (2018),Crystal,ABqvKR,CCCCCCCCCCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Br,3-dodecyl-1-methylimidazolium bromotrichloroferrate(III),,,,,,
nXEWV,266,Stejfa et al. (2020),Crystal,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,,,
OCIQt,388.1,Bhatt and Gohil (2013),Crystal,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,,,,
kdwZz,366.8,Pereiro et al. (2011),Crystal,ABKjWa,CCCCCCCCCCCCCC[n+]1cccc(C)c1.[Cl-],1-tetradecyl-3-methylpyridinium chloride,,,,,,
fclUK,282.1,Er and Wang (2016),Crystal,AAxiiR,CCCCCC[NH2+]CCN.O=C([O-])C(F)(F)F,N-hexylethylenediammonium trifluoroacetate,,,,,,
ZFePJ,341.9,Morais et al. (2013),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
KLMEU,360.1,Koel (2000),Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
jPVqF,300,Faria et al. (2018),Crystal,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,,,,
KmStf,343.1,Ngo et al. (2000),Crystal,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,,,,,,
eWyZB,236.3,Domanska and Laskowska (2008),Crystal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,,,
yWkBO,258.3,Musial et al. (2019b),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
TxlWr,387,Adeosun (1978),Crystal 1,ACWBwx,CCCCCCCCCCCCCC(=O)O[Hg]OC(=O)CCCCCCCCCCCCC,mercury(II) tetradecanoate,,,,,,
TPdpj,259.1,Villanueva et al. (2015),Crystal,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,,,
zTYiO,369.15,Coker et al. (1970),Crystal 1,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,,,,
tThoi,338.1,Sastry and Trivedi (2021),Crystal 1,ABNkWg,CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1.[OH-],1-hexadecyl-1-methylpiperidinium hydroxide,,,,,,
XncNe,277.8,Greeson et al. (2018),Crystal,ACJpcB,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1.Cl[Fe-](Cl)(Cl)Br,"1,3-didecylimidazolium bromotrichloroferrate(III)",,,,,,
lqdfw,274.95,Vieira et al. (2017),Crystal,ABZqBe,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium dodecyl sulfate,,,,,,
HLGAs,263,Yamamoto et al. (2021),Crystal,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,,,,
hdzrg,359.1,Sun et al. (2008b),Crystal,AAfOxg,Cn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxyethyl)-3-methyl-1H-imidazolium chloride,,,,,,
OBone,240,Ma et al. (2015),Crystal,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,,,,
DPKQN,340.15,Gao et al. (2004),Crystal,AAfAmO,CN(C)C(=[NH2+])N(C)C.O=C[O-],"1,1,3,3-tetramethylguanidinium formate",,,,,,
imgLj,350.8,Wlazlo et al. (2018),Crystal,ABegQB,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C.N#C[N-]C#N,"1,3-didecyl-2-methylimidazolium dicyanimide",,,,,,
PUUPP,251.8,Huang et al. (2018),Crystal,ABsQxU,CCCCCCCCCCCCCCCCC(=O)[O-].CCCC[P+](CC)(CCCC)CCCC,tributyl(ethyl)phosphonium heptadecanoate,,,,,,
fNTsm,484.2,Krolikowski et al. (2018),Crystal,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,,,,
pEOMK,275,Kakinuma and Shirota (2019),Crystal,ABKTiJ,COCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,,,,
MnwTb,465,Krolikowska et al. (2018),Crystal,AAqbqA,CC[N+](CC)(CC)CC#N.[Br-],"N-(cyanomethyl)-N,N,N-triethylammonium bromide",,,,,,
zQwLn,331.1,El Bourakadi et al. (2019),Crystal,ABxXnm,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,1-hexadecyl-3-methyl-2-(thiazol-4-yl)benzimidazolium tetrafluoroborate,,,,,,
KKEbq,360.4,Nakamoto and Watanabe (2007),Crystal,ABPKOF,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,tributylmethylammonium trifluoromethanesulfonate,,,,,,
NZKOF,323.1,Greaves et al. (2006),Crystal,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,,,,
KYxSV,323.1,Zhou et al. (2005),Crystal,ABZudK,COCC[N+](C)(C)C.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluorobutyl)borate",,,,,,
TSdRg,357.65,Mod et al. (1967),Crystal,ABFeqq,CCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,dodecanoic acid cyclohexanamine salt (1:1),,,,,,
jzfuj,320.1,Stolarska et al. (2021),Crystal,ACJAln,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,
tChdL,269.1,Papaiconomou et al. (2006),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
BzWZV,287.6,Van Valkenburg et al. (2005),Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
WqOCf,355.5,Domanska et al. (2007b),Crystal,AAwuZB,CCCCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",,,,,,
gJnSG,431.5,Zhang et al. (2019a),Crystal,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,,,,
uwzmZ,289,Gomez et al. (2020),Crystal,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,
saizr,372.6,Meyer et al. (1991),Crystal,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,,,,,,
efJXD,344.6,Diogo et al. (2013b),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
WaXZK,322.43,Couadou et al. (2013),Crystal,ABQlBW,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trimethylsulfonium bis(trifluoromethylsulfonyl)imide,,,,,,
jdoPW,359.7,Bouarab et al. (2020a),Crystal,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate,,,,,,
TUkxW,293.1,Walst et al. (2015),Crystal,ABngjd,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(C)C)1c(N(C)C)[c+]1N(CCC)C,bis(dimethylamino)(methylpropylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
iCsJD,350.1,Yang et al. (2019d),Crystal,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,,,
vIfCi,266.6,Ramenskaya et al. (2020),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
DhdGX,408.1,Aljuhani et al. (2018),Crystal,ABHOBL,Cc1cc[n+](CCCOc2ccccc2)cc1.[Br-],4-methyl-1-(3-phenoxypropyl)pyridinium bromide,,,,,,
dCcCW,438.1,Zhou et al. (2005),Crystal,AAsWAF,CCCC[N+](C)(CC)CC.F[B-](F)(F)F,"N,N-diethyl-N-methylbutan-1-aminium tetrafluoroborate",,,,,,
OrlGz,385.1,Adams et al. (1970),Crystal,AAVODp,F[Ge]F,difluorogermylene,,,,,,
TKYol,336.1,Xue and Shreeve (2005),Crystal,AAweNU,C[n+]1cn(CCN=[N+]=[N-])cn1.[O-]Cl(=O)(=O)=O,"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium perchlorate",,,,,,
PucFQ,363.85,Kumar (1993),Crystal,ABmZtW,CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],tetrabutylammonium picrate,,,,,,
VXbeT,296.1,Curnow et al. (2011),Crystal,AByVQP,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tris(diethylamino)cyclopropenium bis(trifluoromethansulfonyl)amide,,,,,,
MogzM,281.27,Zheng et al. (2016b),Crystal,AAkKPA,CCC[n+]1ccccc1.N#C[N-]C#N,1-propylpyridinium dicyanamide,,,,,,
xMjsO,256.1,Fredlake et al. (2004),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
PSZnY,284.1,Gonzalez and Gonzalez (2014),Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
AplNQ,307.5,Hazrati et al. (2017),Crystal,ACDgYF,CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
QVrDb,355.1,Bhatt and Gohil (2013),Crystal,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,,,,,,
ArJNH,252.4,Monteiro et al. (2020),Crystal,ACnvjZ,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,tetraoctylammonium oleate,,,,,,
uhlEK,278,Fillion et al. (2016),Crystal,ABOCVf,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,triethyloctylphosphonium 4-nitropyrazolide,,,,,,
HFPVv,297,Zhou et al. (2010a),Crystal,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zFfAI,389.1,Nakayama et al. (1989),Crystal,ABYcyV,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[O-]Cl(=O)(=O)=O,tetrapentylammonium perchlorate,,,,,,
XEATx,340.1,Guan et al. (2006),Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
ICBgK,272,Zeng et al. (2015),Crystal,ABkIIX,CCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-heptylpyridinium bis(trifluoromethylsulfonyl)amide,,,,,,
TZocD,323.55,Pernak et al. (2012),Crystal,ABtEqW,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.O=S(=O)([O-])NC1CCCCC1,"N-decyl-N,N-dimethyldecan-1-aminium N-cyclohexylsulfamate",,,,,,
JjDkg,270.35,Shimizu et al. (2007),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
nFMFP,296,Fareghi-Alamdari and Hatefipour (2015),Crystal,ABcfXx,C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1.[Br-].[Br-],3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium dibromide,,,,,,
mZsAP,501.15,Idler and Fagerlund (1957),Crystal,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,,,
xxpGA,322.9,Domanska et al. (2007b),Crystal,ABCPbo,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,,,,,,
DkssE,323.7,Domanska et al. (2009e),Crystal,ABJqui,CCCC[n+]1cccc(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-butyl-3-methylpyridinium 4-methylbenzenesulfonate,,,,,,
XOkuE,535.4,Abranches et al. (2019),Crystal,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,,,,
wmHRg,284.1,Zhou et al. (2005),Crystal 1,ABhzzJ,CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluorobutyl)borate",,,,,,
fJJir,335.1,Nakayama et al. (1989),Crystal,ABcGon,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])[O-],tetrahexylammonium nitrate,,,,,,
vaDDz,378.1,Kurzin et al. (2017),Crystal,AApdQs,CCCC[n+]1ccccc1.[Br-],1-butylpyridinium bromide,,,,,,
ozoRQ,316.1,Serbanovic et al. (2010),Crystal,ABLaKi,COCCOCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-(2-(2-methoxyethoxy)ethyl)-3-methylimidazolium hexafluorophosphate,,,,,,
ykhkj,387.1,Miao and Chan (2003),Crystal,ABhTxB,C[n+]1ccn(CCOC(=O)c2ccc(I)cc2)c1.F[B-](F)(F)F,3-p-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate,,,,,,
RWNou,285.7,Paduszynski et al. (2011),Crystal,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,,,,
bRscV,351.1,Efimova et al. (2013),Crystal,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,,,
cyoQp,335.35,Domanska and Casas (2007),Crystal 1,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,,,,,,
nprLO,363.1,Henderson and Passerini (2004),Crystal 1,ABXrWT,CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
fYOzD,302,Fillion et al. (2016),Crystal,ABAxRb,CC[P+](CC)(CC)COCCOC.c1c[n-]nn1,"triethyl((2-methoxyethoxy)methyl)phosphonium 1,2,3-triazolide",,,,,,
